Date,price,bond_price,discount,7_day_average
20-06-2021,313.37,290.21,8.01%,0.00%
21-06-2021,338.48,311.06,8.89%,0.00%
22-06-2021,295.72,279.59,5.76%,0.00%
23-06-2021,272.73,251.62,8.43%,0.00%
24-06-2021,285.91,267.24,7.04%,0.00%
25-06-2021,290.99,270.75,7.52%,0.00%
26-06-2021,301.99,284.6,6.15%,7.40%
27-06-2021,327.58,305.02,7.43%,7.32%
28-06-2021,337.54,316.46,6.67%,7.00%
29-06-2021,350.19,328.4,6.76%,7.14%
30-06-2021,394.07,368.18,7.07%,6.95%
01-07-2021,438.53,412.04,6.47%,6.87%
02-07-2021,457.54,424.22,7.88%,6.92%
03-07-2021,473.89,445.66,6.37%,6.95%
04-07-2021,483.46,451.44,7.10%,6.90%
05-07-2021,488.33,461.96,5.76%,6.77%
06-07-2021,450.48,428.98,4.99%,6.52%
07-07-2021,376.97,360,4.76%,6.19%
08-07-2021,416.78,393.97,5.79%,6.09%
09-07-2021,387.44,364.19,6.40%,5.88%
10-07-2021,403.99,383.72,5.33%,5.73%
11-07-2021,418.71,397,5.48%,5.50%
12-07-2021,421.3,397.54,5.99%,5.53%
13-07-2021,449.72,425.91,5.61%,5.62%
14-07-2021,482.5,456.66,5.69%,5.76%
15-07-2021,484.13,463.25,4.53%,5.58%
16-07-2021,487.4,459.47,6.10%,5.53%
17-07-2021,539.53,513.44,5.13%,5.50%
18-07-2021,563.42,535.82,5.16%,5.46%
19-07-2021,598.18,571.18,4.76%,5.28%
20-07-2021,523.36,498.86,4.97%,5.19%
21-07-2021,571.81,546.71,4.67%,5.05%
22-07-2021,616.11,589.45,4.55%,5.05%
23-07-2021,630.44,601.42,4.84%,4.87%
24-07-2021,595.99,573.1,3.99%,4.71%
25-07-2021,568.88,543.6,4.67%,4.64%
26-07-2021,531.72,508.89,4.50%,4.60%
27-07-2021,544.92,517.78,5.25%,4.64%
28-07-2021,589.64,560.17,5.28%,4.73%
29-07-2021,518.97,499.72,3.94%,4.64%
30-07-2021,526.09,501.11,5.08%,4.67%
31-07-2021,413.7,400.92,3.42%,4.59%
01-08-2021,403.02,381.92,5.56%,4.72%
02-08-2021,429.26,401.6,6.95%,5.07%
03-08-2021,433.9,411.73,5.47%,5.10%
04-08-2021,451.79,428.19,5.53%,5.14%
05-08-2021,437.46,408.77,7.05%,5.58%
06-08-2021,461.95,434.97,6.23%,5.74%
07-08-2021,460.85,435.23,5.91%,6.10%
08-08-2021,456.42,428.84,6.45%,6.23%
09-08-2021,432.89,409.63,5.69%,6.05%
10-08-2021,411.87,391.47,5.28%,6.02%
11-08-2021,374.08,358.39,4.44%,5.86%
12-08-2021,366.42,344.33,6.47%,5.78%
13-08-2021,364.95,347.69,4.99%,5.60%
14-08-2021,313.65,297.38,5.55%,5.55%
15-08-2021,285.93,270.31,5.81%,5.46%
16-08-2021,283.54,266.55,6.40%,5.56%
17-08-2021,258.15,241.65,6.84%,5.79%
18-08-2021,245.66,232.89,5.50%,5.94%
19-08-2021,276.37,262.21,5.44%,5.79%
20-08-2021,286.13,270.21,5.93%,5.92%
21-08-2021,263.37,249.32,5.66%,5.94%
22-08-2021,263.11,246.53,6.73%,6.07%
23-08-2021,289.3,272.24,6.30%,6.06%
24-08-2021,321.77,302.26,6.48%,6.01%
25-08-2021,300.28,283.56,5.94%,6.07%
26-08-2021,317.53,298.09,6.57%,6.23%
27-08-2021,338.24,318.05,6.39%,6.30%
28-08-2021,355.56,336.94,5.65%,6.29%
29-08-2021,349.41,330.21,5.86%,6.17%
30-08-2021,348.3,330.29,5.50%,6.06%
31-08-2021,322.34,306.33,5.36%,5.90%
01-09-2021,310.16,294.25,5.43%,5.82%
02-09-2021,316.02,298.81,5.77%,5.71%
03-09-2021,322.27,304.09,6.00%,5.65%
04-09-2021,316.49,298.5,6.06%,5.71%
05-09-2021,323.34,307.31,5.44%,5.65%
06-09-2021,337.8,319.07,5.92%,5.71%
07-09-2021,355.15,333.01,6.74%,5.91%
08-09-2021,353.44,330.67,6.90%,6.12%
09-09-2021,378.97,358.51,5.74%,6.11%
10-09-2021,401.86,381.42,5.38%,6.03%
11-09-2021,415.98,395.54,5.22%,5.91%
12-09-2021,436.31,412.45,5.80%,5.96%
13-09-2021,452.37,434.22,4.20%,5.71%
14-09-2021,444.19,427.58,3.96%,5.31%
15-09-2021,466.89,455.81,2.67%,4.71%
16-09-2021,481.75,460.2,4.73%,4.57%
17-09-2021,523.21,498.94,4.89%,4.50%
18-09-2021,551.41,527.94,4.46%,4.39%
19-09-2021,566.23,540.39,4.83%,4.25%
20-09-2021,554.67,525.24,5.63%,4.45%
21-09-2021,580,550,5.45%,4.67%
22-09-2021,626.71,597.79,4.85%,4.98%
23-09-2021,658.4,633.29,4.05%,4.88%
24-09-2021,605.67,585,3.58%,4.69%
25-09-2021,632.58,614.71,3.04%,4.49%
26-09-2021,581.29,571.86,1.88%,4.07%
27-09-2021,615.66,589.46,4.45%,3.90%
28-09-2021,645.81,620.39,4.12%,3.71%
29-09-2021,691.75,663.29,4.31%,3.63%
30-09-2021,742.15,711.66,4.34%,3.67%
01-10-2021,769.79,744.95,3.39%,3.65%
02-10-2021,774.18,740.3,4.61%,3.87%
03-10-2021,815.08,783.6,4.27%,4.21%
04-10-2021,893,847.17,5.46%,4.36%
05-10-2021,913.12,876.75,4.21%,4.37%
06-10-2021,904.24,865.55,4.48%,4.39%
07-10-2021,826.17,794.64,4.04%,4.35%
08-10-2021,857.24,823.05,4.24%,4.47%
09-10-2021,909.73,874.28,4.09%,4.40%
10-10-2021,979.65,935.47,4.74%,4.47%
11-10-2021,1097.28,1044.66,5.06%,4.41%
12-10-2021,1106.57,1026.62,7.84%,4.93%
13-10-2021,1229.87,1160.84,5.99%,5.14%
14-10-2021,1277.54,1239.84,3.15%,5.02%
15-10-2021,1022.61,1035.86,-0.26%,4.37%
16-10-2021,1047.24,1000.3,4.72%,4.46%
17-10-2021,938.69,904.27,3.93%,4.35%
18-10-2021,800.61,782.97,2.41%,3.97%
19-10-2021,877.83,836.91,4.90%,3.55%
20-10-2021,908.5,856.87,6.03%,3.55%
21-10-2021,959.86,902.01,6.42%,4.02%
22-10-2021,945.64,894.41,5.78%,4.88%
23-10-2021,1042.61,985.81,5.88%,5.05%
24-10-2021,1130.73,1081.65,4.64%,5.15%
25-10-2021,1200.29,1150.62,4.38%,5.43%
26-10-2021,1189.21,1139.79,4.38%,5.36%
27-10-2021,1094.48,1059.21,3.62%,5.01%
28-10-2021,1159.39,1115.28,4.28%,4.71%
29-10-2021,1173.76,1117.78,5.04%,4.60%
30-10-2021,1179.38,1125.81,4.78%,4.45%
31-10-2021,1104.44,1065.57,3.94%,4.35%
01-11-2021,1089.3,1047.64,4.06%,4.30%
02-11-2021,1090.97,1048.11,4.12%,4.26%
03-11-2021,1073.31,1017.05,5.63%,4.55%
04-11-2021,1034.6,986.95,4.84%,4.63%
05-11-2021,961.38,918.6,4.69%,4.58%
06-11-2021,901.74,871.58,3.49%,4.40%
07-11-2021,890.03,853.16,4.36%,4.46%
08-11-2021,956.15,926.82,3.22%,4.34%
09-11-2021,962.13,929.37,3.62%,4.26%
10-11-2021,923.86,896.15,3.16%,3.91%
11-11-2021,897.98,870.08,3.44%,3.71%
12-11-2021,898.09,860.29,4.42%,3.67%
13-11-2021,883.25,852.52,3.63%,3.69%
14-11-2021,878.35,856.11,2.85%,3.48%
15-11-2021,873.63,850.79,2.84%,3.42%
16-11-2021,797.48,773.69,3.12%,3.35%
17-11-2021,730.76,711.25,2.77%,3.30%
18-11-2021,765.98,763.08,1.02%,2.95%
19-11-2021,739.79,716.67,3.28%,2.79%
20-11-2021,787.3,770.49,2.68%,2.65%
21-11-2021,826.72,812.59,2.30%,2.57%
22-11-2021,906.69,878.27,3.31%,2.64%
23-11-2021,872.14,853.78,2.54%,2.56%
24-11-2021,852.71,843.91,1.54%,2.38%
25-11-2021,841.68,820.89,2.82%,2.64%
26-11-2021,778.46,758.69,2.70%,2.56%
27-11-2021,725.57,701.89,3.47%,2.67%
28-11-2021,726.44,709.72,2.78%,2.74%
29-11-2021,774.62,749.41,3.56%,2.77%
30-11-2021,821.2,799.6,2.86%,2.82%